ID,loan_limit,Gender,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,Secured_by,total_units,income,credit_type,Credit_Score,co-applicant_credit_type,age,submission_of_application,LTV,Region,Security_Type,Status
155061,0,1,0,0,3,1,0,1,0.8099070466660188,4.25,-0.1075,-1.011769365585631,0.4242137787824757,1,1,1,3.1065414734196386,1,0,0,0,1.8348633160334549,3,-1.1200759872914126,1,4,0,-2.1034008021858663,0,1,0
151197,0,0,0,0,3,0,0,1,-0.4561214738121527,3.25,-0.086,2.0231540534883123,0.4242137787824757,1,1,1,-0.4357177174572157,1,1,0,0,2.3423211785176243,0,-0.5935925605128098,1,4,1,-0.2455340441714783,0,1,0
25482,0,2,0,0,2,0,0,1,-1.300140487464267,4.625,1.1532,0.0545185468738913,0.4242137787824757,1,1,1,-1.191930353711825,1,1,0,0,-0.6860563879201601,1,-0.1361561405248435,0,5,1,-0.5599285317790416,0,1,0
54005,0,3,0,0,2,0,0,1,-0.5164085462158751,4.75,1.3579,-0.0736213768327619,-2.6722738852543726,1,1,1,-0.594920377721344,1,1,0,0,-0.2440769593049159,0,1.382878008869158,1,2,1,0.0719934634564673,3,1,0
77030,0,2,1,0,0,0,0,1,-0.4561214738121527,4.875,1.4021,1.4637487506278926,0.4242137787824757,1,1,1,-0.6347210427873761,1,0,0,0,0.3124897285809471,0,-0.8093644567335487,0,4,1,0.3978718604231025,0,1,0
32528,0,2,0,0,3,0,0,1,-1.300140487464267,4.875,0.6488,-0.0523960296148063,0.4242137787824757,1,1,1,-1.2715316838438893,1,1,0,0,-1.0625573826664794,3,-0.6712704431522759,0,4,1,-0.0668223309952261,0,1,0
125897,1,0,0,1,0,0,0,0,-0.8781309806382098,3.375,0.3398,1.5856129848823666,0.4242137787824757,1,1,1,-1.0327276934476968,1,1,0,0,-1.1280358165354043,0,-1.0423981046519466,0,4,1,0.6755081843328036,0,1,0
66397,0,0,0,0,0,0,0,1,-1.300140487464267,4.045968225309774,0.4462214556572678,-0.0008669150627598,0.4242137787824757,0,1,1,-0.001947176924081,1,1,0,0,-0.8170132556580103,2,-1.2409082491750263,1,5,1,0.0008370771811712,0,1,1
85842,0,2,0,0,2,0,0,1,0.6290458294548514,4.045968225309774,0.4462214556572678,-0.0008669150627598,0.4242137787824757,0,1,1,2.9473388131555103,1,1,0,0,-0.8661220810597041,3,-1.1891229940820491,0,7,1,-2.176632472583349,0,1,1
122920,0,1,0,0,2,0,0,1,0.3878975398399616,4.25,1.3618,1.3068565143234083,-1.6401113305754231,1,1,1,0.519498244127554,1,1,0,0,1.2946662366148232,3,0.2522332726724864,1,4,1,-0.4885954901223812,3,1,0
123482,0,0,1,0,3,0,0,1,-0.2149731841972628,4.045968225309774,0.4462214556572678,-0.0008669150627598,0.4242137787824757,1,1,1,-0.001947176924081,1,1,0,0,-0.6696867794529289,2,1.1929987401949078,1,2,0,0.0008370771811712,2,1,1
